Epoch,Loss (1D),Loss (2D),Loss (3D),Loss (4D),Loss (5D),Loss (6D)
0,0.04394989461,0.04329316318,0.04300887883,0.04309987277,0.04370673746,0.04447423667
1,0.04390566051,0.04326622561,0.04300768673,0.04309210181,0.04368144274,0.04444137588
2,0.04386257753,0.04324128479,0.04300684854,0.04308476299,0.04365727305,0.04440867901
3,0.04382061586,0.04321816936,0.04300617427,0.04307783395,0.04363402724,0.04437614977
4,0.04377970845,0.04319654778,0.04300540686,0.04307129979,0.0436116904,0.04434376955
5,0.04373983666,0.04317636788,0.04300459474,0.04306511581,0.04359012842,0.04431153834
6,0.04370099679,0.04315760359,0.04300388321,0.04305922985,0.0435692817,0.04427942634
7,0.04366317019,0.04314021021,0.04300322756,0.04305356741,0.04354918376,0.04424740374
8,0.04362672567,0.04312413186,0.04300267249,0.04304802418,0.04352983087,0.04421542957
9,0.04359367117,0.04310937226,0.0430020541,0.04304249957,0.04351113737,0.04418349639
10,0.0435626395,0.04309584945,0.04300124571,0.04303685203,0.04349307343,0.04415141791
11,0.04353291914,0.04308348894,0.04300037771,0.04303072765,0.04347540438,0.04411909357
12,0.04350415617,0.04307223111,0.04299952835,0.04302373528,0.04345816001,0.04408638179
13,0.04347641766,0.04306204617,0.04299845174,0.04301539809,0.04344125465,0.0440530926
14,0.04344977066,0.04305289313,0.04299723729,0.04300518334,0.04342484474,0.04401900619
15,0.04342438281,0.04304482788,0.04299585149,0.042992495,0.04340869933,0.04398388788
16,0.04340064526,0.04303789511,0.04299417883,0.04297665507,0.0433928892,0.04394713417
17,0.04337766394,0.04303161055,0.04299216717,0.04295685887,0.04337730259,0.04390825704
18,0.04335540533,0.04302605242,0.04298975319,0.04293229431,0.04336190969,0.04386667162
19,0.04333400726,0.04302115738,0.04298684746,0.04290178418,0.04334677011,0.04382139817
20,0.04331383109,0.04301678017,0.04298332334,0.04286383837,0.04333180934,0.04377169907
21,0.04329448938,0.04301281273,0.04297894239,0.04281679541,0.04331703112,0.04371671006
22,0.04327595234,0.04300929606,0.04297364131,0.04275804013,0.04330249131,0.04365514591
23,0.04325819388,0.04300595075,0.04296739027,0.04268557578,0.0432882756,0.04358607158
24,0.04324116558,0.04300282151,0.04295991361,0.04259543121,0.04327439144,0.04350722209
25,0.04322478175,0.04300048947,0.04295089468,0.04248539358,0.04326067865,0.04341766238
26,0.04320902377,0.04299845919,0.04293997958,0.04235190898,0.04324721172,0.04331423342
27,0.04319388419,0.04299643636,0.04292688519,0.0421920456,0.04323407263,0.04319426417
28,0.04317933321,0.04299434647,0.04291121662,0.04200451821,0.04322104901,0.04305406287
29,0.04316538945,0.04299199581,0.04289288819,0.04178706557,0.0432083644,0.0428910628
30,0.04315213114,0.04298935831,0.04287227988,0.04153908417,0.04319641739,0.04270176589
31,0.04314020276,0.0429863967,0.04284733161,0.04126476869,0.04318460077,0.04248435795
32,0.04312838614,0.04298309982,0.04281815886,0.04097805172,0.04317314923,0.0422349833
33,0.04311700165,0.04297944903,0.04278434813,0.04069424048,0.04316216707,0.04195572808
34,0.04310605675,0.04297568649,0.04274600744,0.04044742137,0.04315175116,0.04164967686
35,0.04309552535,0.04297244921,0.04270137101,0.04026499763,0.04314158857,0.04132166505
36,0.04308545962,0.04296885058,0.04264943674,0.0401619859,0.04313187674,0.0409844555
37,0.04307628796,0.04296498001,0.04258901626,0.04008706287,0.04312266409,0.04065661877
38,0.04306718707,0.04296089336,0.04251910374,0.03995888308,0.04311414808,0.04035633802
39,0.04305844754,0.04295644909,0.04243838787,0.03975041211,0.04310576618,0.04012256116
